BirdID,BandID,LPDV,name,mean,lower,upper,Rhat,n.eff,Status
8456_2022,8456,0,sigma_1,1.105490125,0.945533654,1.276358861,1.000107594,23400,1
8460_2022,8460,1,cp_1,89.94595627,88.05147371,90.99999106,1.002065624,1277,0
8460_2022,8460,1,int_1,0.405526661,0.346597492,0.463024287,1.000136202,27377,0
8460_2022,8460,1,int_2,0.929597869,0.850624319,1.011619682,1.000207791,12109,0
8460_2022,8460,1,sigma_1,0.21888792,0.185921714,0.252988005,1.000109483,22551,0
8461_2022,8461,1,cp_1,91.01424748,90.00003944,93.60117891,1.056074857,5874,0
8461_2022,8461,1,int_1,0.834513196,0.671941746,0.994865859,1.000436269,19858,0
8461_2022,8461,1,int_2,2.187587787,1.95695703,2.418106184,1.001875338,10534,0
8461_2022,8461,1,sigma_1,0.606383536,0.515816718,0.702688657,1.00052001,17069,0
8462_2022,8462,1,cp_1,88.41887132,86.62573726,90.9997559,1.001617993,1544,0
8462_2022,8462,1,int_1,0.563740725,0.511195681,0.616217214,1.000035121,22021,0
8462_2022,8462,1,int_2,0.906276108,0.837418727,0.97565328,1.000418624,21958,0
8462_2022,8462,1,sigma_1,0.195783287,0.166579995,0.225902505,1.000062657,24243,0
8462_2023,8462,1,cp_1,41.30034114,40.23697989,41.99999583,1.000083265,16584,0
8462_2023,8462,1,int_1,0.258547882,0.024199678,0.490242055,1.000427385,26479,0
8462_2023,8462,1,int_2,1.338247651,1.258032891,1.419364101,1.000110463,27335,0
8462_2023,8462,1,sigma_1,0.364690166,0.311989768,0.421055613,1.000071649,25320,0
8463_2022,8463,0,cp_1,99.50281124,99.04712948,99.99688993,1.000039596,31111,1
8463_2022,8463,0,int_1,1.120397932,0.869761661,1.378486634,1.000055513,28022,1
8463_2022,8463,0,int_2,11.23326018,10.75933927,11.70767362,1.000006584,27387,1
8463_2022,8463,0,sigma_1,1.04786239,0.89295684,1.212341099,1.000269676,25726,1
8464_2022,8464,1,cp_1,86.85576336,35.09622101,112.6408218,1.047815459,467,0
8464_2022,8464,1,int_1,0.63858135,0.484692898,0.829212089,1.084896568,1323,0
8464_2022,8464,1,int_2,0.95683621,0.736568674,1.16561204,1.003118933,1809,0
8464_2022,8464,1,sigma_1,0.386218342,0.326252397,0.44990236,1.001265108,12420,0
8464_2023,8464,1,cp_1,90.91543249,70.86172469,98.99999001,1.010064516,692,0
8464_2023,8464,1,int_1,1.179724698,1.037240476,1.31894696,1.002056442,3492,0
8464_2023,8464,1,int_2,0.603218414,0.387291292,0.827809948,1.001927938,1799,0
8464_2023,8464,1,sigma_1,0.474180427,0.405353487,0.548067051,1.000034795,22839,0
8467_2022,8467,1,cp_1,81.11947385,75.11410105,83.98673731,1.007126846,760,0
8467_2022,8467,1,int_1,0.130892538,0.038219517,0.224481147,1.000343904,5440,0
8467_2022,8467,1,int_2,0.603953606,0.531155093,0.676041872,1.000465742,6135,0
8467_2022,8467,1,sigma_1,0.214804424,0.177610377,0.254507701,1.00008777,22056,0
8468_2022,8468,1,cp_1,96.99840148,96.04715408,97.9507242,0.999987999,29563,1
8468_2022,8468,1,int_1,1.328592933,0.790015129,1.888346727,1.000114579,27412,1
