BirdID,name,mean,lower,upper,Rhat,n.eff
8261_2022,int_1,0.582728069,0.454036426,0.718359823,1.000165438,23904
8261_2022,int_2,2.515846723,2.387718594,2.644348243,1.000009417,26036
8261_2022,sigma_1,0.350115612,0.287782779,0.416809025,1.000011865,24435
8262_2022,cp_1,66.48505749,66.00222766,66.96385486,1.000174508,24155
8262_2022,int_1,1.11047697,0.915318128,1.306432305,1.000093747,27629
8262_2022,int_2,0.368791491,0.307032811,0.429246368,1.000198553,26595
8262_2022,sigma_1,0.220953506,0.179970553,0.264318665,1.000065736,22623
8263_2022,cp_1,108.2759591,106.8721412,110.9922219,1.000285017,4905
8263_2022,int_1,0.387710344,0.332885581,0.441785908,1.000091019,25751
8263_2022,int_2,0.784125219,0.678388908,0.890518054,1.000202255,20568
8263_2022,sigma_1,0.181736282,0.149941319,0.219157714,1.000111315,20920
8264_2022,cp_1,100.2749862,62.70268386,119.8668588,1.000161927,358
8264_2022,int_1,0.845124359,0.443998977,1.020494621,1.000409729,753
8264_2022,int_2,0.748055073,0.362176087,1.049215533,1.00109726,978
8264_2022,sigma_1,0.265831844,0.217769101,0.318206577,1.000023854,20790
8265_2022,cp_1,99.91375125,99.00019623,100.9184353,1.000049177,19953
8265_2022,int_1,0.666057634,0.547959302,0.785040927,0.999992794,25182
8265_2022,int_2,2.268586438,2.1020611,2.433818968,1.000072275,24535
8265_2022,sigma_1,0.361142825,0.293915057,0.433518849,1.000111187,22183
8403_2022,cp_1,33.49835449,33.0183626,33.9682351,1.000177809,32151
8403_2022,int_1,0.315325922,0.197964207,0.427317467,1.000221517,27222
8403_2022,int_2,1.250784563,1.220260674,1.279634926,1.000034765,27814
8403_2022,sigma_1,0.081501284,0.061324411,0.103573033,1.000097557,20543
8405_2022,cp_1,112.2838214,111.0000087,113.8433136,1.000180718,14468
8405_2022,int_1,1.535525481,1.425125722,1.640018355,1.000107654,26158
8405_2022,int_2,3.544803527,3.172253893,3.926145511,1.000109673,15740
8405_2022,sigma_1,0.481071037,0.412744664,0.555293719,1.000761742,25057
8406_2022,cp_1,32.50381877,32.0411737,32.98855668,1.000018786,32310
8406_2022,int_1,0.009532575,-0.005747769,0.024889048,1.000249042,27854
8406_2022,int_2,0.127482208,0.125461668,0.129401421,1.000255022,26752
8406_2022,sigma_1,0.007883375,0.006520069,0.009354772,1.000085561,25363
8407_2022,cp_1,42.81935838,42.00002114,43.93450587,1.001339329,14996
8407_2022,int_1,0.370787836,0.140782187,0.604104649,0.999989355,24408
8407_2022,int_2,1.376822644,1.276484728,1.47376319,1.000105248,27771
8407_2022,sigma_1,0.390552698,0.328033448,0.458001207,1.000147336,23746
8408_2022,cp_1,44.43890848,43.00304545,45.92498516,1.000492717,9301
8408_2022,int_1,0.389596108,0.133673422,0.642188792,1.000395673,14473
8408_2022,int_2,2.038956267,1.943311032,2.133004941,1.000002111,26007
8408_2022,sigma_1,0.411804382,0.352262612,0.476194351,1.000065378,23874
8451_2022,cp_1,94.50809431,94.04571452,94.99974306,1.000030189,28306
8451_2022,int_1,0.516734748,0.431048569,0.60074503,0.999995374,27661
8451_2022,int_2,2.660020901,2.528342112,2.79011054,1.000018348,27716
8451_2022,sigma_1,0.340324562,0.291980322,0.393803109,1.000638939,23957
8453_2022,cp_1,96.5004111,96.03645939,96.98724149,1.000131353,31177
8453_2022,int_1,0.545899476,0.436213473,0.653809335,1.000220173,27256
